113.69,415.315,113.74,415.27,112.82,415.27,,,let. prima,,,Prima E e poi A che erano totalmente fuori. Poi pure B che era diventato 0.11
84.24,384.705,83.26,384.82,84.26,384.83,,,let. avanti,,,
0,0,1,1,0,1,,,peso,Numero,3,
-29.45,-30.61,-30.48,-30.45,-28.56,-30.44,,,dislivello,Media,-30.45666667,
1.007,-0.153,-0.023,0.007,1.897,0.017,,,scarto,sigma,0.02081666,
,,,,,,,,,,,
174.515,476.04,174.44,476.03,174.47,476.465,,,let. prima,,,"Tolte E, F"
115.94,417.43,115.87,417.415,115.465,417.46,,,let. avanti,,,
1,1,1,1,0,0,,,peso,Numero,4,
-58.575,-58.61,-58.57,-58.615,-59.005,-59.005,,,dislivello,Media,-58.5925,
0.018,-0.018,0.023,-0.023,-0.413,-0.413,,,scarto,sigma,0.023273733,
,,,,,,,,,,,
131.585,433.13,131.59,433.13,131.57,433.11,,,let. prima,,,
128.04,429.63,128.05,429.57,128.09,429.585,,,let. avanti,,,
1,1,1,1,1,1,,,peso,Numero,6,
-3.545,-3.5,-3.54,-3.56,-3.48,-3.525,,,dislivello,Media,-3.525,
-0.02,0.025,-0.015,-0.035,0.045,0,,,scarto,sigma,0.03,
,,,,,,,,,,,
123.73,423.3,121.73,423.34,121.75,423.35,,,let. prima,,,
118.48,420.03,118.485,420.01,118.48,420.05,,,let. avanti,,,
0,1,1,1,1,1,,,peso,Numero,5,
-5.25,-3.27,-3.245,-3.33,-3.27,-3.3,,,dislivello,Media,-3.283,
-1.967,0.013,0.038,-0.047,0.013,-0.017,,,scarto,sigma,0.032710854,
,,,,,,,,,,,
58.28,359.85,58.225,359.86,58.33,359.82,58.27,359.84,let. prima,,,
150.67,452.19,150.685,452.2,150.655,452.205,150.675,452.21,let. avanti,,,
1,1,1,1,1,1,1,1,peso,Numero,8,
92.39,92.34,92.46,92.34,92.325,92.385,92.405,92.37,dislivello,Media,92.376875,
0.013,-0.037,0.083,-0.037,-0.052,0.008,0.028,-0.007,scarto,sigma,0.043747449,
