lettura dx,lettura sx,lettura dx,lettura sx,lettura dx,lettura sx,lettura dx,lettura sx
110.01,411.57,113.6,416.12,114.56,416.16,,
83.86,385.4,83.72,385.34,83.83,385.42,,
,,,,,,,
176.01,477.58,176.09,477.61,176,477.57,,
115.82,417.35,115.86,417.465,115.78,417.34,,
,,,,,,,
131.5,433.05,130.72,433.05,131.53,433.07,131.58,433.08
132.09,433.53,132.27,433.68,132.115,433.7,132.26,433.8
,,,,,,,
112.68,414.21,112.61,414.26,112.34,414.35,112.58,414.275
113.62,415.14,113.6,415.15,113.59,415.15,113.59,415.13
,,,,,,,
75.56,376.56,75.02,376.58,74.97,376.58,,
165.66,466.68,165.13,466.67,165.13,466.68,,
