110.01,411.57,113.6,416.12,114.56,416.16,,,let. prima,,
83.86,385.4,83.72,385.34,83.83,385.42,,,let. avanti,,
1,1,1,1,1,1,,,peso,Numero,6
-26.15,-26.17,-29.88,-30.78,-30.73,-30.74,,,dislivello,Media,-29.075
2.925,2.905,-0.805,-1.705,-1.655,-1.665,,,scarto,sigma,2.28302212
,,,,,,,,,,
176.01,477.58,176.09,477.61,176,477.57,,,let. prima,,
115.82,417.35,115.86,417.465,115.78,417.34,,,let. avanti,,
1,1,1,1,1,1,,,peso,Numero,6
-60.19,-60.23,-60.23,-60.145,-60.22,-60.23,,,dislivello,Media,-60.2075
0.018,-0.023,-0.023,0.063,-0.013,-0.023,,,scarto,sigma,0.03431472
,,,,,,,,,,
131.5,433.05,130.72,433.05,131.53,433.07,131.58,433.08,let. prima,,
132.09,433.53,132.27,433.68,132.115,433.7,132.26,433.8,let. avanti,,
1,1,1,1,1,1,1,1,peso,Numero,8
0.59,0.48,1.55,0.63,0.585,0.63,0.68,0.72,dislivello,Media,0.733125
-0.143,-0.253,0.817,-0.103,-0.148,-0.103,-0.053,-0.013,scarto,sigma,0.337648777
,,,,,,,,,,
112.68,414.21,112.61,414.26,112.34,414.35,112.58,414.275,let. prima,,
113.62,415.14,113.6,415.15,113.59,415.15,113.59,415.13,let. avanti,,
1,1,1,1,1,1,1,1,peso,Numero,8
0.94,0.93,0.99,0.89,1.25,0.8,1.01,0.855,dislivello,Media,0.958125
-0.018,-0.028,0.032,-0.068,0.292,-0.158,0.052,-0.103,scarto,sigma,0.136432545
,,,,,,,,,,
75.56,376.56,75.02,376.58,74.97,376.58,,,let. prima,,
165.66,466.68,165.13,466.67,165.13,466.68,,,let. avanti,,
1,1,1,1,1,1,,,peso,Numero,6
90.1,90.12,90.11,90.09,90.16,90.1,,,dislivello,Media,90.11333333
-0.013,0.007,-0.003,-0.023,0.047,-0.013,,,scarto,sigma,0.025033311
