Lettura DX,Lettura SX,Lettura DX,Lettura SX,Lettura DX,Lettura SX,Lettura DX,Lettura SX
113.69,415.345,113.74,415.27,112.82,415.27,,
84.24,384.705,83.26,384.82,84.26,384.83,,
,,,,,,,
174.515,476.04,174.44,476.03,174.47,476.465,,
115.94,417.43,115.87,417.415,115.465,417.46,,
,,,,,,,
131.585,433.13,131.59,433.13,131.57,433.11,,
128.04,429.63,128.05,429.57,128.09,429.585,,
,,,,,,,
123.73,423.3,121.73,423.34,121.75,423.35,,
118.48,420.03,118.485,420.01,118.48,420.05,,
,,,,,,,
58.28,359.85,58.225,359.86,58.33,358.82,58.27,359.84
150.67,452.19,150.685,452.2,150.655,452.205,150.675,452.21
